Area,Bedrooms,Bathrooms,Stories,Parking,Price
7420,4,2,3,2,13300000
8960,4,4,4,3,12250000
9960,3,2,2,2,12250000
7500,4,2,2,3,12215000
7420,4,1,2,2,11410000
7500,3,3,1,2,10850000
8580,4,3,4,2,10150000
16200,5,3,2,0,10150000
8100,4,1,2,2,9870000
5750,3,2,4,1,9800000
13200,3,1,2,2,9800000
6000,4,3,2,2,9681000
6550,4,2,2,1,9310000
3500,4,2,2,2,9240000
7800,3,2,2,1,9240000
6000,4,1,2,2,9100000
6600,4,2,2,1,9100000
8500,3,2,4,2,8960000
4600,3,2,2,2,8890000
6420,3,2,2,1,8855000
4320,3,1,2,2,8575000
7155,3,2,1,2,8540000
8050,3,1,1,1,8463000
4560,3,2,2,1,8400000
8800,3,2,2,2,8400000
6540,4,2,2,2,8400000
8875,3,1,1,2,8400000
7950,5,2,2,1,8400000
5500,3,2,4,1,8400000
7475,3,2,4,2,8400000
